no.,name,length,width,area_ratio,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,x,y,z,main_x,main_y,main_z,weight
222,11-0.35-60,141.509717,120.503112,0.824343314,0,0,0,0,261,632,326,154,78,28,0,0,0.000966416,0.010443331,0.332592595,-0.875439063,-0.328882907,-0.354178599,13.06
223,11-0.35-75,141.5662389,121.1981848,0.796324832,0,0,0,0,339,600,361,147,112,35,0,0,0.004229111,0.009402159,0.332156798,0.930903073,0.143399685,0.33594047,13.06
224,11-0.35-90,141.1523999,119.9708298,0.795492166,0,0,0,0,203,641,419,159,52,9,0,0,0.008305012,0.007536092,0.329779501,0.953999271,-0.020584597,0.299101431,13.06
225,11-0.45-0,110.788086,93.29523032,0.862906347,0,0,0,0,42,505,141,77,33,27,0,0,-0.030010466,0.006419011,0.432794066,0.304881517,0.876748284,0.371967347,13.06
226,11-0.45-15,110.3086579,92.63368718,0.858851469,0,0,0,0,86,448,180,85,35,12,0,0,-0.019200627,0.010344741,0.434299494,0.568678553,0.737897201,0.36347273,13.06
227,11-0.45-30,107.8981001,92.91393867,0.822125165,0,0,0,0,198,344,147,88,59,30,0,0,-0.010973324,0.012833941,0.435058024,-0.696920691,-0.586077689,-0.4132971,13.06
228,11-0.45-45,105.5461984,92.13034245,0.804092354,0,0,0,0,181,373,144,89,59,22,0,0,-0.001975657,0.013869403,0.434755397,-0.81027643,-0.428226647,-0.400092547,13.06
229,11-0.45-60,108.7795937,91.66242414,0.819777251,0,0,0,0,37,496,165,83,32,16,0,0,0.004926969,0.014141414,0.43351234,-0.859268489,-0.368498927,-0.354776275,13.06
230,11-0.45-75,105,91,0.833490319,0,0,0,0,144,365,161,71,40,26,0,0,0.010608674,0.012834015,0.432994014,-0.900007882,-0.150595214,-0.409031655,13.06
231,11-0.45-90,108.6324077,92.47702417,0.789866473,0,0,0,0,197,340,121,92,35,11,0,22,0.014591922,0.009975583,0.432579398,-0.940973731,-0.018042445,-0.337998384,13.06
232,12-0.25-0,214.8883431,191.5646105,0.762443791,0,0,0,28,599,1571,737,366,265,57,1,0,-0.020233361,-0.000957423,0.228801784,-0.086204893,-0.946847944,-0.309915613,15.21
233,12-0.25-15,213.6632865,189.5890292,0.758562182,0,0,0,58,375,1786,787,293,197,60,0,0,-0.01369139,-0.000243895,0.22931542,0.344945601,0.896881654,0.276795648,15.21
234,12-0.25-30,220,186,0.760239492,0,0,0,0,483,1796,685,328,176,99,1,0,-0.008803565,0.000403082,0.230248909,0.552711412,0.769416324,0.320169667,15.21
235,12-0.25-45,214.8976501,185.0648535,0.752954448,0,0,0,4,514,1778,664,274,198,115,0,0,-0.004461386,0.000767165,0.23055371,-0.728303373,-0.608241798,-0.315620203,15.21
236,12-0.25-60,210.447143,188.2471779,0.751311069,0,0,14,75,475,1587,712,349,178,111,0,0,-0.000840264,0.001014972,0.230314441,-0.833813119,-0.454158642,-0.313840102,15.21
237,12-0.25-75,211.4828598,188.2896705,0.750677335,0,0,2,46,531,1474,866,409,167,41,0,0,0.000414076,-4.80E-06,0.229106639,-0.921566946,-0.309211923,-0.2347389,15.21
238,12-0.25-90,214.1144554,186.6574402,0.761496203,0,0,4,64,449,1545,836,523,94,39,2,0,0.001103916,-0.001146761,0.228275177,0.968747033,0.082049939,0.234087576,15.21
239,12-0.35-0,149.7230777,133.0939518,0.795845441,0,0,0,0,244,875,330,161,108,28,0,0,-0.02169426,0.002195064,0.330954691,-0.225525832,-0.934117905,-0.276698099,15.21
240,12-0.35-15,149.9133083,133.6450523,0.783322452,0,0,0,0,282,908,271,168,111,58,0,0,-0.014004527,0.003449328,0.331935478,-0.42385147,-0.863805281,-0.272379088,15.21
241,12-0.35-30,151,130,0.787926643,0,0,0,0,308,868,251,134,102,83,1,0,-0.007898369,0.004724581,0.332485587,-0.636833527,-0.675193279,-0.372232582,15.21
242,12-0.35-45,150.3728699,130.7287268,0.773219981,0,0,0,0,208,956,232,126,107,54,0,0,-0.002339797,0.005855414,0.331975897,-0.754928096,-0.550412708,-0.356552129,15.21
